Seller_SKU,Item_name,Brand,responsibility,MSKU,pack_size,MRP_INR,Discount_percentage,Physical_Weight_grms,Length_cms,Width_cms,Height_cms,GST_rate,HSN_Code,Product_Category,Category,updatedby
1147969,Patanjali Kachi Ghani Mustard Oil-200ml,44,Haridwar,1147969,1,45,0,200,11,8,2,12,0,0,0,1
1147966,Tirumala Tirupati Laddu - 1000g,1751,Hyderabad,1147966,1,1427,0,1000,11,8,2,12,0,0,0,1
1043396,L'Oreal Paris Extraordinary Oil Smooth And Deep Nourishing Steam Mask - 20 ml + 40 g,431,Hyderabad,1043396,1,399,17,60,11,8,2,12,0,0,0,1
1147206,Sun Pharmaceutical Kamagra Tab 100 Mg|4Tabs - Pack of 5,2587,Haridwar,1147206,5,150,0,50,11,8,2,12,0,0,0,1
1031821,Vaseline Body Ice Cream - 185g,1575,Haridwar,1031821,1,245,0,185,11,8,2,12,0,0,0,1
L'OrealParispmc5429,L'Oreal Paris Color Riche Moist Matte Lipstick 232 Beige Couture - 4g,431,Haridwar,L'OrealParispmc5429,1,950,0,4,11,8,2,12,0,0,0,1
1030408,Kerala Ayurveda Eladi Thailam 100 ml,4,Hyderabad,1030408,1,220,3,100,11,8,2,12,0,0,0,1
1139770,Fair And Handsome Nature First Healthy Radiance Face Wash 100G,52,Haridwar,1139770,1,229,40,100,11,8,2,12,0,0,0,1
1142466,Millet House Women's Malt 400 Grams | Sprouted Millets Ayurvedic Herbs Malt | 100% Organic Health Mix for Women| Certified Special Women Health Mix Malt (Pack of 1),2540,Haridwar,1142466,1,399,26,400,11,8,2,12,0,0,0,1
1147435,"WOW Skin Science Apple Cider Cider Vinegar Face Wash - No Parabens, Sulphate, Silicones & Color - 100mL Tube",148,Haridwar,1147435,1,249,0,100,11,8,2,12,0,0,0,1
1147537,"Indus Valley Bio Organic 100% Organic And Herbal Indigo Powder, For Natural Hair Coloring, Arrests Early Greying & Protects Hair From Damage - 250G",396,Hyderabad,1147537,1,499,40,250,11,8,2,12,0,0,0,1
1147588,"Manna Health Mix Instant Cereal, Beetroot & Carrot with Milk, No Added Sugar, No Artificial Color, Flavors 200g (Pack of 1)",2570,Hyderabad,1147588,1,250,32,200,11,8,2,12,0,0,0,1
1147933,Enfagrow Nutritional Milk Powder A+ Stage 4 - Chacolate Flavour - 400g,2606,Hyderabad,1147933,1,700,0,400,11,8,2,12,0,0,0,1
1147935,Killer Perfumes - Pack of 3,105,Hyderabad,1147935,3,699,57,85,11,8,2,12,0,0,0,1
1147962,Tirumala Tirupati Laddu - 500g,1751,Hyderabad,1147962,1,1153,0,500,11,8,2,12,0,0,0,1
1148000,Patanjali Oats Dalia - 400g,44,Haridwar,1148000,1,299,0,400,11,8,2,12,0,0,0,1
1148001,Prakruthi Multi Seeds & Nuts Chikki - 250 g,537,Hyderabad,1148001,1,499,7,250,11,8,2,12,0,0,0,1
1148013,BELLAVITA White Oud Unisex Eau De Parfum Perfume - 100ml,50,Hyderabad,1148013,1,999,43,100,11,8,2,12,0,0,0,1
L'OrealParispmc5374,L'Oreal Paris Infallible Ultra Matte Liquid Lipstick Les Macarons 822 Mon Caramel 5g - 5 ml,431,Hyderabad,L'OrealParispmc5374,1,999,15,5,11,8,2,12,0,0,0,1
L'OrealParispmc5360,L'Oreal Paris Men Expert White Activ Oil Control Charcoal Brightening Foam 100ml - 100 ml,431,Hyderabad,L'OrealParispmc5360,1,499,0,100,11,8,2,12,0,0,0,1
PATAN-NOVA-2929-01,Patanjali Brahmi Sharbat - 750ml,44,Haridwar,PATAN-NOVA-2929-01,1,130,20,750,11,8,2,12,0,0,0,1
1031807,Vaseline Sun Protect and Calming Serum in Lotion SPF 50 - 90ml,1575,Haridwar,1031807,1,269,5,90,11,8,2,12,0,0,0,1
1031815,Vaseline Ice Cool Hydration Lotion - 400ml,1575,Haridwar,1031815,1,385,0,400,11,8,2,12,0,0,0,1
1035402,"Biotique Advanced Ayurveda Bio Neem Purifying Face Wash for All Skin Types, 150ml I 5.07 Fl. Oz.",1090,Haridwar,1035402,1,225,24,150,11,8,2,12,0,0,0,1
1042973,Garnier Men Turbo Bright Brightening Face Wash - 50 g,317,Haridwar,1042973,1,135,1,50,11,8,2,12,0,0,0,1
1050548,Keto Cauliflower Spicy Mixture - 200g,1271,Hyderabad,1050548,1,299,0,200,11,8,2,12,0,0,0,1
1058124,"MTR Ready to Eat Chana Masala, 300g",468,Hyderabad,1058124,1,125,0,300,11,8,2,12,0,0,0,1
1125930,22 Carat Gold Venkateswara Locket 3.38g by Mahita Collections,105,Hyderabad,1125930,1,30420,0,3.38,11,8,2,12,0,0,0,1
1140439,Patanjali Kesh Kanti Advance Herbal Hair Expert Oil - 30ml,44,Haridwar,1140439,1,100,0,30,11,8,2,12,0,0,0,1
1141476,Johnsons' Baby Milk + Rice Bath - 1000ml,409,Haridwar,1141476,1,1299,2,1000,11,8,2,12,0,0,0,1
1142672,Monison's Pain Balm - Pack of 2 / 100 gm,1604,Haridwar,1142672,2,348,24,100,11,8,2,12,0,0,0,1
1145484,Kerala Ayurveda Indukantha Ghritham 150 ml,4,Haridwar,1145484,1,250,5,150,11,8,2,12,0,0,0,1
1145588,Suhana Malvani Chicken Masala - 25g / Pack of 6,984,Haridwar,1145588,6,30,1,25,11,8,2,12,0,0,0,1
1146717,"Haldiram's Bhujia(35.30oz., 1000g) by Haldiram",728,Hyderabad,1146717,1,290,14,1000,11,8,2,12,0,0,0,1
1146902,Glow & Lovely Bright Glow Face Wash 100 G,51,Haridwar,1146902,1,160,15,100,11,8,2,12,0,0,0,1
46926,Sri Sri Tattva Chitrakaharitaki Lehya -150 gm Paste,143,Hyderabad,46926,1,190,0,150,11,8,2,12,0,0,0,1
900351,Pure Silver Jandhayam || Vadugu thread || Janeo,2123,Hyderabad,900351,1,1500,0,60,11,8,2,12,0,0,0,1
L'OrealParispmc5352,L'Oreal Paris White Perfect Milky Foam Facewash And Day Cream - 100g,431,Hyderabad,L'OrealParispmc5352,1,1999,20,100,11,8,2,12,0,0,0,1
PMCP021,Patanjali Lauki Amla Juice - 1L,44,Haridwar,PMCP021,1,100,0,1000,11,8,2,12,0,0,0,1
